Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
352,GI Engg.Sol.,10.5,23.61,90.43,0,0.94,9500,93.31,310933.33,16.6,1869.52,0.01,0
353,Lumax Auto Tech.,393.35,27.13,2680.98,1.14,30.09,1.47,631.71,49.72,16.57,17.43,1028.3,355.04
354,Ethos Ltd,1648.4,59.09,3848.89,0,17.99,42.44,230.02,32.53,16.4,20.06,196.94,128.16
355,Intense Tech.,80.15,12.05,188.09,0.62,3.18,142.75,23.6,38.91,16.36,9.69,23.78,2.89
356,B&B Triplewall,230.4,24.73,472.58,0,4.51,28.49,85.79,2.18,16.32,20.78,58.47,53.42
357,A G Universal,49,23.16,26.87,0,0.56,nan,35.92,nan,16.18,43.81,8.59,4
358,Meghmani Organi.,78.65,25.34,2000.18,1.78,-34.5,-131.63,425.78,-45.65,16.13,53.95,1166.08,480.55
359,Natural Capsules,360.55,23.42,332.3,0.28,1.82,-65.07,37.7,-14.69,16.12,40.41,96.76,23.81
360,DJ Mediaprint,147.3,20.04,159.49,0.1,0.22,37.5,8.62,32.41,16.05,33.64,12.18,2.99
361,Vinyoflex,85,10,36.71,0,0.55,61.76,9.34,-27.99,15.97,14.17,6.5,2.64
362,Filatex Fash.,11.73,8.29,113.56,0,1.59,3875,19.12,-49.66,15.93,41.29,3.4,2.43
363,Jindal Worldwide,387.1,88.51,7762.14,0.05,13.69,-67.18,410.7,-35.75,15.71,-1.99,369.63,295.65
364,Yash Chemex,78.69,26.17,80.61,0,1.35,69.35,31.98,185.54,15.65,2.83,4.6,0.84
365,Cargosol Logist.,44.8,10.86,45.7,0,1.27,nan,71.54,nan,15.64,38.54,25.53,2.03
366,Uday Jewellery,134.2,29.88,295.53,0,3.01,14.89,34.21,-19.3,15.6,24.43,1.44,0.91
367,Rama Steel Tubes,38,57.29,1770.13,0.05,7.46,67.14,312.52,30.21,15.59,55.9,106.35,40.78
368,Birla Precision,45.05,25.73,294.05,0,2.22,-63.49,40.76,-29.49,15.58,13.45,68.75,31.85
369,Sudarshan Pharma,78.51,26.17,188.94,0.38,3.54,nan,265.84,nan,15.49,46.08,19.89,5.64
370,Beekay Steel Ind,555.1,10.84,1058.69,0.18,39.6,-22.08,268.56,-19.88,15.47,11.59,250.07,212.62
371,Ritco Logistics,239.45,22.08,586.09,0,7.44,31.91,207.86,23.76,15.44,15.35,37.87,41.65
372,Shyam Metalics,463.25,17.64,11816.61,0.39,235.2,-43.17,3306.81,2.59,15.44,42.3,2946.05,2012.47
373,Giriraj Civil,570,51.22,230.51,0,2.88,nan,62.01,nan,15.41,57.3,8.63,0.65
374,Silver Touch,435,55.89,551.62,0.11,1.47,12.21,43.39,27.84,15.33,-4.32,31.07,19.4
375,Tembo Global,231.3,47.45,316.02,0.52,1.68,100,79.98,49.89,15.22,46.95,21.99,6.73
376,NACL Industries,79.8,37.88,1586.76,0.88,-38.06,-355.09,375.91,-20.92,15.17,27.74,417.81,190.62
377,Sukhjit Starch,401.4,11.43,627.07,1.99,10.67,-44.31,322.85,-10.76,15.15,21.87,559.07,248.95
378,AVG Logistics,255.9,36.13,301.33,0.39,2.53,6225,100.34,3.56,15.1,9.84,216.17,39.27
379,Indo Count Inds.,234.85,17.03,4651.31,0.85,73.74,-4.52,746.69,3.42,15.07,13.13,1110.47,574.6
380,Max Healthcare,533.4,44.26,51815.4,0,240.08,38.91,1284.99,20.44,15.01,62.72,7084.58,850.95
381,Tamboli Capital,134.3,13.68,133.23,0.74,2.15,-27.36,19.29,-18.57,15,16.78,57.3,20.47
382,Hindware Home In,525.9,80.13,3802.07,0.1,0.67,-93.78,633.91,-6.52,14.8,21.22,693.03,189.77
383,Samrat Forgings,299.25,28.61,149.63,0,1.41,34.29,43.66,0.72,14.8,30.9,50.4,31.7
384,Valiant Organics,461.85,15.99,1254.08,0.22,14.93,-42.85,201.84,-24.11,14.75,15.94,670.25,276.38
385,Total Transport,127.9,71.12,206.26,0.59,1.33,-50.56,113.78,-35.24,14.73,13.89,15.29,8.25
386,Ideaforge Tech,1022.45,139.51,4260.61,0,18.86,-54.28,97.07,-2.22,14.72,136.85,48.7,4.62
387,Assoc.Alcohols,435.55,19.44,787.44,0.23,12.35,-7.9,156.35,-15.17,14.6,10.29,110.43,109.54
388,Swiss Military,16.18,60.47,318.09,0.99,1.43,5.93,38.84,67.56,14.6,211.07,1.05,0.01
389,Pokarna,457.35,25.67,1417.97,0.13,17.92,-37.1,162.29,-32.4,14.5,22.78,733.06,269.07
390,Hindcon Chemical,138.1,24.29,141.39,1.23,2.55,145.63,17.27,-18,14.5,24.77,2.57,1.13
391,Rajeshwari Cans,170,84.13,89.18,0.15,0.44,nan,16.18,nan,14.36,13.91,6.78,3.97
392,Binny,242.95,6.88,542.26,0,17.42,-15.35,32.22,-13.22,14.26,491.12,2.19,1.75
393,Fusion Microfin.,558.2,12.99,5617.21,0,120.46,60.4,531.07,54.96,14.24,34.23,20.96,6.05
394,Steel City Sec.,62.45,8.48,94.34,3.2,2.15,-4.02,12.99,-0.99,14.18,2.01,25.59,9.3
395,Cool Caps,552.7,88.74,638.92,0,1.72,14.67,35.87,30.96,14.16,nan,45.85,nan
396,Bajaj Healthcare,321,19.43,885.91,0.47,-48.21,-51.01,129.74,-20.79,14,16.35,365.69,162.24
397,We Win Ltd,82.65,36.83,83.98,0,0.65,-15.58,14,21.53,14,6.82,3.02,2.8
398,Deep Polymers,94.8,23.99,218.35,0,1.92,-31.91,29.75,-16.39,13.94,54.14,20.42,2.64
399,Patel Engineerin,54.55,23.15,4220.08,0,43.4,46.93,1118.61,24.14,13.93,17.09,1294.27,607.24
400,Integra Essentia,5.9,37.71,269.65,0,1.11,91.38,55,-1.72,13.88,nan,40.04,0.18
401,Greenlam Industr,449.5,42.06,5708.32,0.33,32.24,31.22,515.24,9.48,13.8,15.33,517.18,428.72
402,CSL Finance,320.3,14.89,718.52,0.78,13.25,24.53,35.29,40.88,13.65,24.41,7.53,3.44
403,BCL Industries,457.3,16.92,1104.38,1.09,19.76,6.87,428.67,14.35,13.63,25.8,338.92,129.19
404,Optiemus Infra.,252.25,46.8,2165.75,0.59,9.39,88.55,281.58,36.8,13.49,52.15,210.33,146.88
405,Reliable Data,58.8,15.21,60.68,0.09,1.16,-4.9,12.97,11.33,13.44,16.6,18.74,7.76
406,SAL Automotive,399,15.68,95.67,1,1.78,368.42,84.94,41.28,13.38,52.61,32.6,9.09
407,Olectra Greentec,1192.8,146.37,9790.59,0.03,18.08,8.72,216.02,-23.14,13.3,75.87,355.51,150.61
408,ASM Technologies,469,134.77,469,1.49,-0.3,-109.2,50.95,0.06,13.25,33.8,48,14.73
409,Calcom Vision,148.1,35.93,190.06,0,0.43,-45.57,33.08,9.97,13.2,50.07,53.89,12.78
410,Manorama Indust.,1852.65,63.9,2208.32,0.11,11.55,70.61,111.56,52.88,13.18,23.06,97.34,51.38
411,Neogen Chemicals,1568.8,77.71,3912.48,0.19,11.42,2.7,170.12,15.02,13.16,30.87,347.45,110.54
412,SRG Housing,256.25,20.14,333.13,0,4.39,-10.59,26.84,29.35,13.1,8.81,24.32,4.01
413,Cadsys (India),115.5,18.48,86.65,0,14.97,nan,101.02,nan,13.03,61.1,78.92,32.81
414,Sharda Ispat,105.06,9.74,53.37,0,2.31,181.71,60.06,182.77,12.98,16.24,3.09,3.04
415,Gateway Distri,83.8,17.46,4187.02,2.39,59.82,7.24,358.29,6.04,12.76,55.72,1697.34,228.1
416,Axel Polymers,48.26,26.52,41.1,0,0.62,138.46,25.81,37.14,12.63,54.95,8.84,3.66
417,Airo Lam,113.9,21.85,170.85,0,2.64,19.46,48.81,-9.46,12.58,23.86,36.04,11.02
418,India Finsec,30.74,16.04,76.67,0,2.9,257.69,14.94,69.58,12.57,37.04,9.45,1.78
419,Stove Kraft,527.15,48.51,1741.2,0,8.2,1.49,297.75,8.25,12.51,24.12,402.14,193.69
420,Bharat Parenter.,599.5,16.03,346.19,0,7.01,525.89,69.91,167.96,12.37,-1.51,42.18,33.06
421,IM+ Capitals,483,18,473.42,0,5.45,3533.33,74.11,18902.56,12.12,165.72,67.77,0.52
422,Finkurve Fin.,71.11,67.67,902.09,0,1.9,-34.26,19.99,140.84,12.09,45.68,1.18,0.25
423,Swaraj Suiting,126,32.75,181.44,0,3.98,nan,174.44,nan,12.09,55.63,80.91,37.33
424,Electronics Mart,128.75,34.79,4953.64,0,60.26,48.2,1689.07,19.92,12,19.73,1142.12,223.24
425,HP Adhesives,523.2,63.71,961.38,0,4.51,229.2,59.32,-3.76,11.96,40.22,38.75,10.8
426,RPSG Ventures,613.6,55.82,1810.82,0,362.4,101893.33,2296.06,17.58,11.95,15.85,9956.32,3983.11
427,Aveer Foods,395,66.86,159.12,0,0.61,181.33,25.95,-10.08,11.86,nan,9.36,0.01
428,Shigan Quantum,137.05,61.12,235.93,0,-1.14,nan,53.44,nan,11.82,31.03,15.39,2.14
429,Apollo Sindoori,1430.2,36.86,371.91,0.1,3.83,18.21,121.04,109.59,11.71,23.79,49.22,29.95
430,Radico Khaitan,1280.5,81.77,17121.26,0.23,63.25,8.51,953.92,25.94,11.66,9.49,1214.33,743.43
431,Greenply Industr,160.45,31.55,1978.3,0.31,0.82,-96.04,476.14,4.98,11.63,9.12,459.17,314.28
432,Power & Instrum.,37.4,13.09,47.25,0,1,69.49,21.95,63.56,11.53,1.93,0.86,0.84
433,Laxmi Organic,255.7,68.99,6790.8,0.2,38.33,-40.51,733.58,-3.04,11.52,22.16,714.6,337.65
434,Zodiac Energy,123.35,34.64,180.5,0,0.82,167.77,32.1,33.14,11.47,26.39,2.75,0.58
435,Indus Towers,158.95,13.47,42836.02,6.92,1347.9,182.4,7075.9,2.59,11.33,61.46,32383.6,6714.1
436,Rajshree Polypac,151.9,21.21,173.91,0.33,2.09,-56.09,72.69,6.43,11.22,26.12,125.68,45.66
437,Riddhi Corporate,186.65,25.08,225.47,0.26,1.68,51.35,47.1,9.94,11.19,35.41,119.78,2.03
438,Krishana Phosch.,438.9,40,1300.85,0.11,11.88,94.75,165.36,149.9,11.1,25.77,358.47,95.62
439,Dhruv Consultanc,52.75,15.11,79.63,0,0.89,97.78,11.32,-35.9,11.1,18.54,16.73,5.49
440,RHI Magnesita,711.3,92.29,14489.99,0.35,46.81,-43.16,927.96,54.14,10.9,25.25,3258.19,227.5
441,Thirumalai Chem.,203.45,51.52,2083.09,0.74,10.65,-82.26,522.66,-15.84,10.86,25.27,671.12,549.92
442,Amber Enterp.,2816.1,58.76,9488.49,0,46.61,8.54,1701.99,-6.78,10.85,20.46,2221.54,1105.82
443,Borosil,425.55,66.14,4869.9,0,6.38,-58.84,250.56,15.88,10.82,17.1,511.98,327.23
444,Paradeep Phospha,63.05,42.24,5136.93,0,-119.41,-290.6,3054.33,25.45,10.75,47.08,2871.75,1214.03
445,Garnet Intl.,42.2,35.87,82.86,0,1.47,-38.03,37.75,139.68,10.66,50.14,11.88,11.59
446,Walpar Nutrition,96.9,76.18,45.5,0,1.14,nan,18.62,nan,10.53,nan,10.13,nan
447,Sh. Ajit Pulp,285.5,7.34,152.93,0.35,2.67,5.12,75.87,-26.53,10.42,15.65,139.99,133.64
448,Uflex,374.85,20.51,2706.79,0.8,-416.25,-121.41,3258.26,-19.19,10.35,25.57,7786.5,3807.66
449,Camlin Fine,155.2,46.05,2438.09,0,12.01,233.61,419.6,9.34,10.24,17.03,857.62,305.79
450,Gallantt Ispat L,88.1,14.45,2125.69,0,30.71,25.14,1036.17,1.48,10.21,67.08,1622.76,197.86
451,Kilitch Drugs,184.8,30.93,297.2,0,3.06,75.86,36.56,9.3,10.16,37.84,64.22,31.53
452,Arnold Holdings,19.6,17.49,58.95,0,0.61,-41.9,37.2,225.17,10.11,89,4.98,1.39
