Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
532,Pion. Embroider.,47.05,50.17,126.92,0.64,1.02,1600,73.72,-14.2,3.39,7.56,75.1,85.13
533,Ushanti Colour,62,65.17,63.87,0,1.01,nan,16.99,nan,3.31,-1.5,22.39,18.96
534,Sh. Bajrang All.,244,7.49,219.6,0,12.08,-28.73,151.03,193.43,3.22,44.23,38.4,8.19
535,Bonlon Industrie,28.86,27.29,40.93,0,0.61,-23.75,89.48,0.28,3.18,28.03,10.57,2.64
536,Bilcare,88.44,nan,208.23,0,-13.14,-37.88,182.25,-26.55,3.17,-18.71,1045.47,534.33
537,W S Inds.,112.15,162.18,421.68,0,4.97,2105.56,45.83,20731.82,3.16,623.92,24.52,0.02
538,Indo Rama Synth.,42.25,nan,1103.2,0,-55.18,-242.92,769.62,-34.7,3.08,24.71,783.07,702.89
539,Modi Naturals,249.05,nan,315.21,0,0.79,-69.73,83.7,-16.39,3.06,nan,27.04,nan
540,Info Edg.(India),4189.5,130.81,54121.69,0.45,147.4,-17.63,625.95,14.38,2.92,21.37,800.76,242.3
541,Mindpool Tech.,83.9,nan,35.55,0,-0.35,nan,23.11,nan,2.86,6.07,0.86,5.88
542,Guj Apollo Inds,230.9,23.27,272.46,0.87,3.24,9.83,13.21,-54.74,2.66,39.47,108.4,38.94
543,Upsurge Invest.,38.8,30.61,58.78,1.29,3.42,71,11,-2.91,2.65,13.14,0.21,0.03
544,Swan Energy,267.15,252.53,7050.54,0.04,142.88,376.85,804.3,208.89,2.59,61.59,4225.22,556.37
545,Sunteck Realty,369.45,nan,5411.66,0.41,-6.74,-127.02,70.57,-50.82,2.56,-13.48,150.34,55.2
546,Mittal Life Styl,15.75,59.76,46.61,0,0.35,1700,15.4,-0.13,2.3,-13.94,1.02,0.22
547,Max Ventures,216.2,187.34,3181.05,0,3.11,-14.25,23.31,-19.29,2.27,-57.43,1427.42,1266.08
548,VLS Finance,193.7,3.91,748.88,0.77,91.95,311.77,111.64,307.93,2.13,31.86,91.8,9.82
549,Utique Enterp.,5.29,84.14,29.45,0,0.05,-84.85,32.24,107.46,1.68,90.87,0.79,4.67
550,Sundaram Fin.Hol,122.35,10.17,2716.54,2.45,70.67,71.78,24.01,28.81,1.43,-0.63,41.18,8.86
551,Kesar Petroprod.,5.76,278.4,55.68,0,0.06,-81.82,32.61,-30.53,1.31,-2.59,47,41.17
552,Cineline India,111.4,nan,351.65,0,-4.7,-683.33,49.88,65.93,1.3,76.28,484.77,103.99
553,Rajnish Wellness,13.47,4500.61,1035.14,0,0.55,-19.12,8.51,85.81,0.89,22.1,0.05,0.06
554,Flex Foods,87.83,nan,109.35,0.57,-2.47,-259.35,26.95,-3.13,0.68,13.06,234.07,80.14
555,Ishan Dyes & Ch.,53.32,nan,98.47,0,-1.77,-353.85,12.04,-51.06,0.34,-6.88,62.77,28.97
556,Capital India,118.35,nan,919.98,0.08,4.85,74.76,174.99,10.15,-0.33,53.6,116.17,46.53
557,Asahi Songwon,233,nan,274.64,0.21,-5.85,-246.54,102.79,-36.98,-1.02,21.17,275.18,129.12
558,Tejas Networks,843.9,nan,14314.68,0,-26.29,-295.93,187.89,49.4,-1.2,33.04,646.82,78.65
